..........AI : 10.755 s, Game : 3.267 s
Episode 162 avg. reward = 0.700, Long-term avg. reward = -0.451
..........AI : 8.884 s, Game : 2.893 s
Episode 163 avg. reward = 0.200, Long-term avg. reward = -0.445
..........AI : 7.572 s, Game : 2.495 s
Episode 164 avg. reward = 0.200, Long-term avg. reward = -0.438
..........AI : 5.975 s, Game : 1.807 s
Episode 165 avg. reward = -0.400, Long-term avg. reward = -0.438
..........AI : 7.725 s, Game : 2.421 s
Episode 166 avg. reward = 0.100, Long-term avg. reward = -0.433
..........AI : 7.883 s, Game : 2.352 s
Episode 167 avg. reward = 0.000, Long-term avg. reward = -0.428
..........AI : 7.333 s, Game : 2.422 s
Episode 168 avg. reward = 0.000, Long-term avg. reward = -0.424
..........AI : 8.491 s, Game : 2.771 s
Episode 169 avg. reward = 0.300, Long-term avg. reward = -0.417
..........AI : 7.013 s, Game : 2.292 s
Episode 170 avg. reward = -0.100, Long-term avg. reward = -0.414
..........AI : 6.761 s, Game : 2.095 s
Episode 171 avg. reward = -0.200, Long-term avg. reward = -0.412
..........AI : 7.062 s, Game : 2.211 s
Episode 172 avg. reward = -0.100, Long-term avg. reward = -0.408
..........AI : 9.573 s, Game : 2.966 s
Episode 173 avg. reward = 0.400, Long-term avg. reward = -0.400
..........AI : 9.606 s, Game : 3.207 s
Episode 174 avg. reward = 0.500, Long-term avg. reward = -0.391
..........AI : 6.870 s, Game : 2.280 s
Episode 175 avg. reward = -0.100, Long-term avg. reward = -0.388
..........AI : 6.335 s, Game : 1.879 s
Episode 176 avg. reward = -0.300, Long-term avg. reward = -0.388
..........AI : 9.503 s, Game : 3.128 s
Episode 177 avg. reward = 0.500, Long-term avg. reward = -0.379
..........AI : 4.317 s, Game : 1.392 s
Episode 178 avg. reward = -0.700, Long-term avg. reward = -0.382
..........AI : 6.198 s, Game : 1.924 s
Episode 179 avg. reward = -0.200, Long-term avg. reward = -0.380
..........AI : 6.251 s, Game : 1.707 s
Episode 180 avg. reward = -0.400, Long-term avg. reward = -0.380
..........AI : 5.647 s, Game : 1.661 s
Episode 181 avg. reward = -0.500, Long-term avg. reward = -0.381
..........AI : 8.435 s, Game : 2.721 s
Episode 182 avg. reward = 0.200, Long-term avg. reward = -0.376
..........AI : 11.183 s, Game : 3.551 s
Episode 183 avg. reward = 0.800, Long-term avg. reward = -0.364
..........AI : 8.087 s, Game : 2.606 s
Episode 184 avg. reward = 0.200, Long-term avg. reward = -0.358
..........AI : 8.892 s, Game : 2.788 s
Episode 185 avg. reward = 0.200, Long-term avg. reward = -0.353
..........AI : 7.178 s, Game : 2.185 s
Episode 186 avg. reward = -0.100, Long-term avg. reward = -0.350
..........AI : 4.190 s, Game : 1.294 s
Episode 187 avg. reward = -0.700, Long-term avg. reward = -0.354
..........AI : 6.248 s, Game : 2.048 s
Episode 188 avg. reward = -0.200, Long-term avg. reward = -0.352
..........AI : 5.709 s, Game : 1.791 s
Episode 189 avg. reward = -0.300, Long-term avg. reward = -0.352
..........AI : 7.979 s, Game : 2.297 s
Episode 190 avg. reward = 0.000, Long-term avg. reward = -0.348
..........AI : 7.964 s, Game : 2.571 s
Episode 191 avg. reward = 0.100, Long-term avg. reward = -0.344
..........AI : 5.548 s, Game : 1.801 s
Episode 192 avg. reward = -0.400, Long-term avg. reward = -0.344
..........AI : 5.523 s, Game : 1.728 s
Episode 193 avg. reward = -0.400, Long-term avg. reward = -0.345
..........AI : 6.747 s, Game : 2.135 s
Episode 194 avg. reward = -0.100, Long-term avg. reward = -0.342
..........AI : 8.469 s, Game : 2.573 s
Episode 195 avg. reward = 0.100, Long-term avg. reward = -0.338
..........AI : 7.489 s, Game : 2.343 s
Episode 196 avg. reward = 0.000, Long-term avg. reward = -0.334
..........AI : 5.815 s, Game : 1.813 s
Episode 197 avg. reward = -0.300, Long-term avg. reward = -0.334
..........AI : 13.692 s, Game : 4.346 s
Episode 198 avg. reward = 1.300, Long-term avg. reward = -0.318
..........AI : 7.360 s, Game : 2.322 s
Episode 199 avg. reward = 0.000, Long-term avg. reward = -0.315
..........AI : 7.459 s, Game : 2.405 s
Episode 200 avg. reward = 0.100, Long-term avg. reward = -0.310
..........AI : 13.234 s, Game : 4.246 s
Episode 201 avg. reward = 1.200, Long-term avg. reward = -0.295
